label,size,id,status,n_plants,n_dc,n_zones,P_max,total_demand,n_vars,n_constraints,time_sec,objective,open_dcs,fixed_cost,transport_cost
large_1,large,1,Optimal,35,33,38,18,4789,2442,140,1.0209,77600.0,11,43382,34218.0
large_2,large,2,Optimal,30,40,40,31,5251,2840,151,0.8083,80069.0,18,47948,32121.0
large_3,large,3,Optimal,29,29,33,24,3595,1827,121,0.8563,62504.0,14,37304,25200.0
large_4,large,4,Optimal,35,30,32,16,3492,2040,128,1.3869,58060.0,10,30875,27185.0
large_5,large,5,Optimal,27,38,32,22,4147,2280,136,0.2407,56862.0,12,26176,30686.0
medium_1,medium,1,Optimal,12,13,19,11,2217,416,58,0.0125,47443.0,6,20843,26600.0
medium_2,medium,2,Optimal,19,23,19,12,1999,897,85,0.0745,39901.0,8,17515,22386.0
medium_3,medium,3,Optimal,13,17,17,8,1890,527,65,0.0184,35087.0,5,17985,17102.0
medium_4,medium,4,Optimal,14,22,26,17,3177,902,85,0.0185,76817.0,11,34037,42780.0
medium_5,medium,5,Optimal,19,24,22,13,2753,1008,90,1.6321,55553.0,8,26267,29286.0
small_1,small,1,Optimal,8,11,15,5,1904,264,46,0.0062,47220.0,4,19659,27561.0
small_2,small,2,Optimal,10,6,9,3,1266,120,32,0.0037,45529.0,3,23874,21655.0
small_3,small,3,Optimal,8,12,13,9,1521,264,46,0.0086,35044.0,5,13876,21168.0
small_4,small,4,Optimal,5,7,14,5,1482,140,34,0.0028,45455.0,4,18992,26463.0
small_5,small,5,Optimal,7,7,9,4,1265,119,31,0.0033,38885.0,4,19089,19796.0
